Water Body Name,City,Call Category,County,Date ID,Comments,Report Date,Call ID
Bridge & RR Tracks,Port Charlotte,Mammal / Turtle,Charlotte,30200,Manatee,3/2/2000,2271
Bear Creek Bayou,Pensacola,Fish Kill,Escambia,30200,"Catfish, Elwie, Gar, Jellies",3/2/2000,2272
Unknown Water Body,Unknown,Fish Kill,Unknown,30600,Grouper,3/6/2000,2275
Dunns Creek,Jacksonville,Abnormal Appearance,Duval,30600,Species Unknown,3/6/2000,2276
On Beach Gulf Shore Blvd,Naples,Fish Kill,Collier,30700,Species Unknown,3/7/2000,2278
Indian River Plantation,Stuart,Abnormal Appearance,Indian River,30700,Jacks,3/7/2000,2279
Choctawhatchee Bay,Panama City,Fish Kill,Bay,30800,Gar,3/8/2000,2280
Sharkey Channel,Unknown,Mammal / Turtle,Monroe,30900,Sea Turtle,3/9/2000,2282
STL Inlet Crossroads,Palm City,Abnormal Appearance,Martin,30900,Snook,3/9/2000,2286
Venice Pier,Venice,Fish Kill,Sarasota,30900,"Sheepshead, Mackerel",3/9/2000,2287
Choctawhatchee Bay,Niceville,Fish Kill,Okaloosa,31000,"Gar, Crabs, Blue Fish",3/10/2000,2288
Choctawhatchee Bay,Santa Rosa Beach,Fish Kill,Walton,31100,Baitfish,3/11/2000,2291
Bartlett Park,St Petersburg,Fish Kill,Pinellas,31300,"Snook, Redfish",3/13/2000,2292
Clearwater Beach,Clearwater,Fish Kill,Pinellas,31300,Seahares,3/13/2000,2293
Club Med (Sandpiper),Port St. Lucie,Abnormal Appearance,St. Lucie,31300,Snook,3/13/2000,2294
Unknown Water Body,Vero Beach,Abnormal Appearance,Indian River,31400,Speckled Trout,3/14/2000,2296
Choctawhatchee Bay,Point Washington,Fish Kill,Walton,31400,"Gar, Otter",3/14/2000,2298
Rivergate Park,Port St. Lucie,Abnormal Appearance,St. Lucie,31400,Jack Crevalle,3/14/2000,2300
C-24 Canal,Jensen Beach,Fish Kill,Martin,31400,Mullet,3/14/2000,2301
Unknown Water Body,Palm City,Abnormal Appearance,Martin,31400,Jack Crevalle,3/14/2000,2303
Blind River,Goodland,Mammal / Turtle,Collier,31400,Sea Turtle,3/14/2000,2304
Unknown Water Body,Port St. Lucie,Abnormal Appearance,St. Lucie,31500,"Jack, Croakers",3/15/2000,2306
Rivergate Fish,Port St. Lucie,Abnormal Appearance,St. Lucie,31500,Mangrove Snapper,3/15/2000,2307
Unknown Water Body,Palm Beach,Abnormal Appearance,Martin,31600,Snook,3/16/2000,2309
Marco Island Bridge,Marco Island,Fish Kill,Collier,31700,"Rays, Horseshoe Crabs",3/17/2000,2310
Unknown Water Body,Stuart,Abnormal Appearance,Martin,31700,Jacks,3/17/2000,2312
Unknown Water Body,Stuart,Fish Kill,St. Lucie,31800,Jack,3/18/2000,2314
Unknown Water Body,Stuart,Fish Kill,Martin,31800,,3/18/2000,2315
Unknown Water Body,Marco Island,Fish Kill,Collier,32000,Species Unknown,3/20/2000,2318
Roberts Bay,Charlotte Harbor,Fish Kill,Charlotte,32000,"Jacks, Catfish",3/20/2000,2319
Roberts Bay,Marco Island,Fish Kill,Collier,32200,Species Unknown,3/22/2000,2322
Lake Hourglass,Orlando,Fish Kill,Orange,32300,Tilapia,3/23/2000,2324
Basin Bayou,Freeport,Fish Kill,Walton,32300,Gar,3/23/2000,2325
Choctawhatchee Bay,Niceville,Fish Kill,Okaloosa,32500,"Gar, Crabs",3/25/2000,2327
South Fork SLR marker 37,St Lucie Inlet,Abnormal Appearance,Martin,32600,Jacks,3/26/2000,2328
Choctawhatchee Beach,Freeport,Fish Kill,Walton,32600,"Gar, Catfish, Gar",3/26/2000,2329
Cocoanut Point,Seminole Shores,Abnormal Appearance,St. Lucie,32600,Jack Crevalle,3/26/2000,2330
Unknown Water Body,Okeechobee,Fish Kill,Okeechobee,32900,Trout,3/29/2000,2331
North Fork,Port St. Lucie,Abnormal Appearance,St. Lucie,32900,Jack Crevalle,3/29/2000,2332
Unknown Water Body,St James City,Fish Kill,Lee,40500,"Grass Carp, Species Unknown",4/5/2000,2336
Lake Osborn,Lake Worth,Abnormal Appearance,Palm Beach,40500,Tilapia,4/5/2000,2337
Unknown Water Body,Venice,Abnormal Appearance,Sarasota,40500,Species Unknown,4/5/2000,2339
Santa Rosa Sound,Mary Esther,Mammal / Turtle,Okaloosa,40600,Dolphin,4/6/2000,2340
Deckhands Marine,Shalimar,Mammal / Turtle,Okaloosa,40900,Dolphin,4/9/2000,2341
Unknown Water Body,Vero Beach,Abnormal Appearance,Indian River,41000,Species Unknown,4/10/2000,2342
Eglin Beach,Freeport,Fish Kill,Walton,41100,Gar,4/11/2000,2345
Vikings Landing,Port St. Lucie,Abnormal Appearance,St. Lucie,41100,"Crappie, Mullet",4/11/2000,2346
Cypress Creek,Fort Lauderdale,Fish Kill,Broward,41200,Grass Carp,4/12/2000,2347
