Report Date,Fish Kills
2000-03-31,22
2000-04-30,10
2000-05-31,53
2000-06-30,22
2000-07-31,27
2000-08-31,34
2000-09-30,24
2000-10-31,51
2000-11-30,32
2000-12-31,10
2001-01-31,168
2001-02-28,21
2001-03-31,10
2001-04-30,18
2001-05-31,18
2001-06-30,19
2001-07-31,51
2001-08-31,95
2001-09-30,76
2001-10-31,68
2001-11-30,46
2001-12-31,39
2002-01-31,25
2002-02-28,15
2002-03-31,24
2002-04-30,23
2002-05-31,15
2002-06-30,23
2002-07-31,48
2002-08-31,40
2002-09-30,67
2002-10-31,54
2002-11-30,69
2002-12-31,14
2003-01-31,22
2003-02-28,56
2003-03-31,56
2003-04-30,50
2003-05-31,37
2003-06-30,51
2003-07-31,74
2003-08-31,78
2003-09-30,77
2003-10-31,36
2003-11-30,40
2003-12-31,27
2004-01-31,51
2004-02-29,26
2004-03-31,9
2004-04-30,38
2004-05-31,32
2004-06-30,48
2004-07-31,52
2004-08-31,104
2004-09-30,113
2004-10-31,28
2004-11-30,25
2004-12-31,23
2005-01-31,21
2005-02-28,50
2005-03-31,38
2005-04-30,40
2005-05-31,29
2005-06-30,131
2005-07-31,100
2005-08-31,161
2005-09-30,208
2005-10-31,154
2005-11-30,85
2005-12-31,20
2006-01-31,16
2006-02-28,29
2006-03-31,35
2006-04-30,61
2006-05-31,43
2006-06-30,54
2006-07-31,85
2006-08-31,62
2006-09-30,107
2006-10-31,57
2006-11-30,16
2006-12-31,38
2007-01-31,31
2007-02-28,15
2007-03-31,19
2007-04-30,41
2007-05-31,80
2007-06-30,76
2007-07-31,82
2007-08-31,81
2007-09-30,97
2007-10-31,167
2007-11-30,104
2007-12-31,52
2008-01-31,160
2008-02-29,15
2008-03-31,32
2008-04-30,24
2008-05-31,46
2008-06-30,72
2008-07-31,66
2008-08-31,82
2008-09-30,121
2008-10-31,41
2008-11-30,27
2008-12-31,36
2009-01-31,24
2009-02-28,32
2009-03-31,32
2009-04-30,51
2009-05-31,60
2009-06-30,68
2009-07-31,57
2009-08-31,97
2009-09-30,89
2009-10-31,223
2009-11-30,29
2009-12-31,26
2010-01-31,1069
2010-02-28,48
2010-03-31,17
2010-04-30,44
2010-05-31,75
2010-06-30,418
2010-07-31,141
2010-08-31,119
2010-09-30,45
2010-10-31,61
2010-11-30,46
2010-12-31,91
2011-01-31,68
2011-02-28,77
2011-03-31,29
2011-04-30,39
2011-05-31,44
2011-06-30,76
2011-07-31,132
2011-08-31,151
2011-09-30,65
2011-10-31,96
2011-11-30,34
2011-12-31,88
2012-01-31,48
2012-02-29,17
2012-03-31,20
2012-04-30,38
2012-05-31,46
2012-06-30,53
2012-07-31,97
2012-08-31,66
2012-09-30,95
2012-10-31,109
2012-11-30,55
2012-12-31,36
2013-01-31,85
2013-02-28,28
2013-03-31,32
2013-04-30,63
2013-05-31,47
2013-06-30,61
2013-07-31,32
2013-08-31,77
2013-09-30,148
2013-10-31,103
2013-11-30,32
2013-12-31,19
2014-01-31,36
2014-02-28,28
2014-03-31,24
2014-04-30,36
2014-05-31,42
2014-06-30,52
2014-07-31,133
2014-08-31,186
2014-09-30,109
2014-10-31,105
2014-11-30,70
2014-12-31,38
2015-01-31,25
2015-02-28,15
2015-03-31,49
2015-04-30,85
2015-05-31,46
2015-06-30,83
2015-07-31,47
2015-08-31,45
2015-09-30,69
2015-10-31,138
2015-11-30,105
2015-12-31,155
2016-01-31,43
2016-02-29,41
2016-03-31,341
2016-04-30,94
2016-05-31,96
2016-06-30,101
2016-07-31,132
2016-08-31,124
2016-09-30,169
2016-10-31,115
2016-11-30,65
2016-12-31,79
2017-01-31,61
2017-02-28,35
2017-03-31,38
2017-04-30,60
2017-05-31,73
2017-06-30,112
2017-07-31,127
2017-08-31,149
2017-09-30,221
2017-10-31,128
2017-11-30,42
2017-12-31,80
2018-01-31,295
2018-02-28,128
2018-03-31,84
2018-04-30,131
2018-05-31,65
2018-06-30,170
2018-07-31,186
2018-08-31,403
2018-09-30,570
2018-10-31,552
2018-11-30,117
2018-12-31,52
2019-01-31,51
2019-02-28,62
2019-03-31,22
2019-04-30,55
2019-05-31,123
2019-06-30,119
2019-07-31,101
2019-08-31,82
2019-09-30,89
2019-10-31,136
2019-11-30,185
2019-12-31,63
